user,username,timestamp,post,permalink,reposts,likes,impressions,quotes,replies,bookmarks,value,report_file,date,time,relevance,anti RSF,pro RSF,anti SAF,pro SAF,"Pro peace,",anti peace,Pro War,anti war,pro civilian,anti civilians,not specified,no polarisation,Geopolticis,Sudanese,Not Sudanese,Sudanese N/A,Likely bot,Likely not a bot,Cannot be identified.,News,Not about Sudan,Annotation Confidence,code
صحيفةكلباء الإخبارية,@kalbaae,2023-06-28 08:44:30,البرهان: كل من يستطيع حمل السلاح عليه التوجه لأقرب وحدة عسكرية لمواجهة التمرد,https://www.twitter.com/user/status/1673975649302634498,0,0,22,0,0,0,15.08,Report 2-1,2023-06-28,08:44:30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.0,1673975649302634498
Mo _sayed,@MoAlsayed16,2023-04-15 20:40:38,@ii8600 @4pHxanpmpHfzkSf @B667i لان الدعم السريع رفض قرار الإنضمام تحت شعار القوات المسلحة يبي يكون قوات مستغلة,https://www.twitter.com/user/status/1647339167536365568,0,1,599,0,2,0,0.02,Report 1-3,2023-04-15,20:40:38,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,8.0,1647339167536365568
أحمد الرشيدي🇴🇲,@ahmedrn70,2023-04-15 15:17:12,من الي يدعم قوات الدعم السريع؟؟#السودان,https://www.twitter.com/user/status/1647257775334907905,0,1,494,0,0,1,2.32,Report 1-1,2023-04-15,15:17:12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,8.0,1647257775334907905
Albahei,@bahaa708,2023-08-31 06:43:54,@SElareifi من قالت يلتقي حميدتي فهي جنجويدية ليس إلا,https://www.twitter.com/user/status/1697138121303790042,0,0,426,0,0,0,0.2,Report 3,2023-08-31,06:43:54,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.0,1697138121303790042
Stewie,@mamouning,2023-06-30 18:47:10,قادر اتخيّل البرهان شايل بُلاطة وبشخّت في الحيطة,https://www.twitter.com/user/status/1674852090164674580,0,2,160,0,0,0,0.37,Report 2-3,2023-06-30,18:47:10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.0,1674852090164674580
💙 يـــــــــاســر💛,@yasire4y,2023-10-30 20:32:09,"@MShareefi @YASIR_MOS91 مع الجيش في كل الحالات عند الأنكسار نحن سند الجيش 
ونفرح ونهلل ونكبر لأنتصاراتو في كل الاحوال مابكسرنا تخاذل ولاتهاون طالمافي رجال بتضحي بالغالي والنفيس من أجل الأرض والعرض ويحملون هم الوطن في ظروف صعبةبيدفعواأرواحهم ثمن لازم نقيف معاهم وندعمهم ونرفع معنوياتهم ونحن معاهم لأخرنفس",https://www.twitter.com/user/status/1719089830934561007,0,0,85,0,0,0,0.08,Report 4-1,2023-10-30,20:32:09,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.0,1719089830934561007
MOWFAQ,@Mowfaq41,2023-06-28 23:03:24,النبي جاوبني فنانين السودان ديل وينهم من الحاصل ؟؟ ما عايشين معانا ولا شنو ؟ مافي واحد فيهم طلع اتكلم ولا حتى بوس… — الاستاذة ندى القلعة واقفة مع الجيش وقفة مشرفة https://t.co/AQuybhCv2H,https://www.twitter.com/user/status/1674191799638806530,0,7,2609,1,1,0,54.26,Report 2,2023-06-28,23:03:24,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,1674191799638806530
Khalid Osman,@KHAMAN222,2023-06-29 18:17:42,"@alaaty88 رجاء خاص ليك اكره الكيزان زي ما عايز ، بس الدعم السريع ما تدعمه لانو ببساطة كذبة اخرى من كذبات بنو كوز ، و مليان كيزان عتاودة منهم .
الله يحفظ بلدنا من شر كل ذي شر و نسال الله الخلاص لها منهم جميعاً",https://www.twitter.com/user/status/1674482286400528384,0,0,36,0,0,0,0.05,Report 2,2023-06-29,18:17:42,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.0,1674482286400528384
الفاضل محمد,@alfadil_mohame,2023-08-30 07:29:30,@mustafa55345 اي مبررات لا للحرب ي جماعة في عدوان في انتهاكات من هذه الملشيات اغتصابات ضد المواطنين وليس الجيش ولا فلول إنما ناس منتفعين اوهذا جبن ليس إلا  او يستخدمو العاطفة من تشريد وخراب ولكن هي دنيا الحروب دي من زمان الالف السنين الراحة جنة بس ولسة الحروب تجي,https://www.twitter.com/user/status/1696787210513629578,0,1,64,0,0,0,0.09,Report 3-1,2023-08-30,07:29:30,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.0,1696787210513629578
‏﮼صالح،s﮼﮼s🇸🇦,@TqzA5nvePKhYAwh,2023-04-15 18:14:13,@i___guns ابحث عن من كان ومازال يدعم حميدتي وتعرف من هو,https://www.twitter.com/user/status/1647302320726654977,0,0,1166,0,0,0,0.09,Report 1,2023-04-15,18:14:13,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,8.0,1647302320726654977
Awad | عوض علي,@Awad16022_186,2023-10-31 08:30:40,@SaadAlkabli حقيقة نقطة مهمة إنو الجيش حالياً بحل في الجنجويد وفي ناس لا عاجبهم الحل ده ولا عاجبهم الجيش وماعايزين يصدقوا مع نفسهم ويقولوا مشكلتهم شنو مع الجيش,https://www.twitter.com/user/status/1719270650135675323,0,3,475,0,3,0,2.06,Report 4-1,2023-10-31,08:30:40,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,7.0,1719270650135675323
eltayebali,@Eltayebali70,2023-12-29 05:41:00,@Jaffar_HO كدي حسع الشعب السوداني يطرد الدعم السريع المتمرد علي المواطنين ونهب وسلب خيراتهم ومواردهم وبعد داك يقبل علي السياسين اكلي وناهبي أموال السفارات,https://www.twitter.com/user/status/1740608837475090561,0,0,14,0,0,0,0.07,Report 5-1,2023-12-29,05:41:00,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,7.0,1740608837475090561
المشاهير للتواصل الاجتماعي,@almshaheer,2023-12-29 11:05:40,عاجل طائرة شحن اماراتية هبطت قبل ساعات بشمال مدينة نيالا وفرغت حمولتها، قلنا مراراً وتكراراً ان هذا التمرُد لن ينتهي الا بقضاء طرف علي الآخر ولكن قائد الجيش لم يفهم الدرس حتي الآن ويعتقد ان نهاية التمرُد حل سياسي https://t.co/AWPztAL02G,https://www.twitter.com/user/status/1740690540864450924,0,0,39,0,0,0,1.76,Report 5-1,2023-12-29,11:05:40,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,1740690540864450924
M.S.B. مصعب,@MMsbabiker1,2023-08-30 20:31:16,@rmhalarm1 يا محمد نحن ليس في مرحلة القاء اللوم بل في منعطف خطير إن ام نقف مع الجيش سنفقد وطننا,https://www.twitter.com/user/status/1696983947421405356,0,0,62,0,0,0,7.26,Report 3,2023-08-30,20:31:16,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.0,1696983947421405356
رضا القط,@rlq76375128,2023-04-15 22:54:18,@osgaweesh الجيش المصري  معروف يا بجم ولو عايز يمسح بالسودان الأرض  لرفع درجات الاستعداد للحاله القصوي  ولكن تحكمنا القيم والمباديء التي لا يعرفها أمثالك اتفووووووعليك وعلي اللي رباك,https://www.twitter.com/user/status/1647372806550691841,0,3,128,0,0,0,0.16,Report 1-3,2023-04-15,22:54:18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,9.0,1647372806550691841
Sherif Gazar,@gazar_sherif,2023-04-15 23:48:33,ده انت #هتتنفخ_يا_حميدتي,https://www.twitter.com/user/status/1647386458943021058,0,0,623,0,0,0,0.5,Report 1-3,2023-04-15,23:48:33,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,7.0,1647386458943021058
🇪🇬🇪🇬 Dina Tam 🇪🇬🇪🇬,@DenaEldeen,2023-12-30 13:48:41,"@Drfatmasaad7983 مصر عادتا لا تتدخل فى الحروب الأهلية لكن ما يفعله حميدتى هو ابادة عر،قية مثل ما يفعله الكيان لذلك دعم الجيش 
الذى ليس له اى اجندات سوى مصلحة السودان واجب انسانى",https://www.twitter.com/user/status/1741093955809218574,0,1,48,0,0,0,0.23,Report 5-3,2023-12-30,13:48:41,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,8.0,1741093955809218574
Munta,@proud_111,2023-08-29 19:08:22,"🔴اسكريمات اهداف القحاطة الطير 
😂😂لا لموا في بلح المليشيا ولا عنب الجيش https://t.co/ai300zaaOE",https://www.twitter.com/user/status/1696600698970919228,12,27,1971,0,10,0,138.55,Report 3-1,2023-08-29,19:08:22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,1696600698970919228
Youssef Zidan,@YousseZidan,2023-12-30 18:55:22,@AtifGamal اعلنو قيام فصيل شعبي يحمي نفسه بنفسه فرصة عشان تتحررو من البرهان وحميدتي,https://www.twitter.com/user/status/1741171133536211000,0,0,3,0,1,0,0.03,Report 5-3,2023-12-30,18:55:22,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,1741171133536211000
RT Ahmed Alashkar,@ALASHKAR_RT,2023-04-15 16:07:46,المطارات العسكرية في السودان تتساقط امام قوات حميدتي https://t.co/62d8nLwD47,https://www.twitter.com/user/status/1647270500500905991,2,5,863,0,4,0,139.95,Report 1-1,2023-04-15,16:07:46,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9.0,1647270500500905991
Mohamed Nasreldinمحمدنصرالدين,@vskguyg,2023-06-28 22:46:20,"ربنا ينصر الجيش السوداني
#جمعة_الاستنفار",https://www.twitter.com/user/status/1674187505472532480,0,0,25,0,0,0,1.72,Report 2,2023-06-28,22:46:20,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.0,1674187505472532480
﮼الصاغ,@ciahmed1,2023-04-15 23:59:06,مين بقا اللي ظهر تاني في الصورة؟ حمديتي، اللي هوا معاه نظام عبارة عن شركات تجارية وتجارة دهب، فلوس كتير، حلم بالزعامة،وجيش ميليشيا مكون من قبائل عربية، وبواقي ميليشيا الجنجويد،ومرتزقة مجندين البرهان وحميدتي اتفقوا،واتعين حميدتي في يوم وليلة بقا نائب قيادة المجلس العسكري الانتقالي,https://www.twitter.com/user/status/1647389112847028225,0,0,372,0,2,0,0.05,Report 1-3,2023-04-15,23:59:06,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,10.0,1647389112847028225
hus Yaam,@HusYaam,2023-04-15 23:29:51,@defensearab @mohamed_adamz يلا طيروا ع السودان وجييو افراد الجيش المأسورين وجيبو حم تو من لبليبه,https://www.twitter.com/user/status/1647381753068232704,0,0,121,0,1,0,0.02,Report 1-3,2023-04-15,23:29:51,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,9.0,1647381753068232704
in God we trust,@gamalkhameesalr,2023-08-30 18:25:34,@ajmubasher كلامه صحيح تماما لان الجيش قبل الحرب الآخيرة لم يكن قادرا ً على الحكم فمن باب اولى لن يستطيع بعد الحرب @ يجب ان يعمل المجتمع الدولي على حل مليشيا الدعم السريع وإعطاء البرهان مهلة سنة لاجراء انتخابات تحت اشراف الامم المتحدة وتسليم السلطة للسلطة المنتخبة @,https://www.twitter.com/user/status/1696952315771576323,0,0,23,0,0,0,0.15,Report 3,2023-08-30,18:25:34,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,9.0,1696952315771576323
Mahir h. baik,@Hana10776,2023-04-15 22:04:47,@Baik86 حميدتي قام بإنقلاب مضاد قبل قيام الكيزان بإنقلابهم الذي كان يهدف للتخلص منه ثم العودة للحكم بنفس الاشكال القديمة .... قادة انقلاب الكيزان غير البرهان و جماعته علي كرتي و اسامة عبدالله,https://www.twitter.com/user/status/1647360344694611968,0,0,98,0,1,0,0.17,Report 1-3,2023-04-15,22:04:47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.0,1647360344694611968
🇸🇩 سودانيز ضد الجنجاقحط 🇸🇩,@dabnfl1,2023-10-31 20:35:34,@TramaZoul المشكلة انو البرهان ما القائد المحنك الكل كلمة بقولوها بكون قاصدها,https://www.twitter.com/user/status/1719453077688766761,1,2,570,0,0,0,0.67,Report 4-3,2023-10-31,20:35:34,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7.0,1719453077688766761
Bright light,@Brightl24595885,2023-04-15 18:47:45,"الحمدلله..الجيش المصري دخل بقوات الي السودان ..وجسر جوي بين الإسكندرية والخرطوم ..الان يتم تحميل قوات  من الصاعقة المصرية والعتاد الي السودان...
اللهم لا تجعل منهم واحد يروح يمشي على رجليه...اللهم اوغل المحق في قوات السيسي الجبانة..
الموضوع وراه مصر والامارات",https://www.twitter.com/user/status/1647310758856871936,0,0,220,0,0,0,0.25,Report 1,2023-04-15,18:47:45,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,8.0,1647310758856871936
الفارس,@JonsonBabar,2023-08-31 04:27:34,@SalahManaa5 حميدتي الهارب الأكبر واخوهو هرب زماااان وانت اول الهاربين يامناع ، بعدين ياعملاء انتو بتختو الوطن والدعم السريع في كفه واحده ؟؟؟؟ غشيتو الراجل وعايزين تتسلقو للسلطة بسلاح الدعم السريع ياعملاء ياخونه؟؟ بل بل بل تاني مافي حل . ايقاف الحرب يتم بالسلاح وحسم التمرد الكلام انتهي,https://www.twitter.com/user/status/1697103812643680319,0,0,27,0,0,0,0.01,Report 3,2023-08-31,04:27:34,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.0,1697103812643680319
mbemusa,@mbemusa,2023-06-27 20:28:48,@ZoalRSF @ahmadhgurashi وين الهزيمه فى خطابه. خلى الميت حميدتى يطلع ذي طلعه البرهان ديه ثم يحق لك ان تقول ان خطاب البرهان خطاب هزيمه,https://www.twitter.com/user/status/1673790502972391424,0,2,146,0,1,0,0.16,Report 2-2,2023-06-27,20:28:48,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,9.0,1673790502972391424
Bagir,@bagir32r,2023-04-15 14:43:53,@nasser_duwailah ههههههههههه يعني شايف البرهان مع الديمقراطية دة صراع بين حميدتي والبرهان علي السلطة,https://www.twitter.com/user/status/1647249390749220865,0,1,151,0,0,0,0.17,Report 1-2,2023-04-15,14:43:53,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,1647249390749220865
سبا.,@saba_vvvv,2023-04-15 19:33:38,الكيزان العواطلية كلهم مشاركين في هجوم الليلة مع الجيش 🤡,https://www.twitter.com/user/status/1647322306794909703,0,1,558,0,0,0,5.82,Report 1,2023-04-15,19:33:38,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.0,1647322306794909703
‏﮼حمزاوي ًًًٍٍٍ🇸🇩ًٍٍ ًًٍٍ,@Hamzasaad09,2023-04-15 19:30:36,"سيادة الوطن خط احمر ⛔️

 #جنجويد_رباطه #العسكر_للثكنات_والجنجويد_ينحل #القوات_المسلحة_السودانية #الخرطوم #البرهان https://t.co/UY6nZ0darQ",https://www.twitter.com/user/status/1647321545881075714,1,1,1058,0,0,0,12.21,Report 1,2023-04-15,19:30:36,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8.0,1647321545881075714
𝖘𝖆𝖊𝖊𝖉 🇸🇩,@sv3ed_,2023-12-28 19:32:07,@AlsanossiAmira حيعتمدو رئيس مجلس السياده على اي اساس؟؟ على اساس راسك العامل زي جعىبت حميدتي ؟؟,https://www.twitter.com/user/status/1740455606774059511,0,2,55,0,1,0,0.19,Report 5-2,2023-12-28,19:32:07,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,1740455606774059511
علي يار,@prince____22,2023-04-15 18:00:03,"هو الجيش المصري بيعمل ايه هناك وليه الجيش السوداني يتعامل مع جنودنا كده زي الأسرى بالضبط فيه ايه يابلحة
جنود مصر بتعمل ايه هناك؟؟",https://www.twitter.com/user/status/1647298756218437632,1,0,526,0,0,0,106.06,Report 1,2023-04-15,18:00:03,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,8.0,1647298756218437632
7770,@Soka1510,2023-06-27 22:58:52,"@MubarakArdol نشيد العلم في زول قال ليك ما حافظو؟
بعدين يحبيب انت حميدتي واحد.",https://www.twitter.com/user/status/1673828268649095168,0,0,5,0,0,0,0.52,Report 2-1,2023-06-27,22:58:52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,1673828268649095168
khalid mohammed,@khalidm82899202,2023-12-29 21:37:41,@yasin123ah ناس الجزيرة كشف ظهرهم الجيش بعد انسحب الكان معتمدين عليه ولم يتسلحو ولابقطعة واحده سلاح .نهرالنيل والشماليه ادركو قدرة الجيش في مدني لذلك سلحوا انفسهم وبعدين يااخ ياسين ناس الجزيرة هم نفسهم ناس الشماليه ونهر النيل والله مافي ناس ارجل من ناس الجنجويد هم الجبنا يسرقون ويقتلون العزل,https://www.twitter.com/user/status/1740849593443639508,0,0,107,0,0,0,0.0,Report 5,2023-12-29,21:37:41,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,7.0,1740849593443639508
